mse_test,mae_test,mape_test,Model
30.74942464040025,1.497748592870544,62808174915798.75,DT
32.31157716611589,1.5509116845612543,59850839325592.99,DT10
26.959936524953946,1.4223193067095508,86607685141740.39,DT15
29.7674358974359,1.5090056285178235,62808174915798.75,DT20
30.74942464040025,1.497748592870544,62808174915798.75,DT25
30.74942464040025,1.497748592870544,62808174915798.75,DT30
24.26407937132443,1.5412633703388738,314540921242222.06,DT5
92.42374494312851,6.436761257035648,1.8128731215781904e+16,LR
197.36806844351213,4.615615151791571,4854535429964.86,NN.10
197.3368249626454,4.614447834309488,1644898889121.0732,NN.10.10
197.3462247253234,4.6143264454028605,501969409734.37646,NN.10.10.5.5
197.339488305964,4.61430015778376,1279294402403.915,NN.10.5
197.39817943621736,4.618123334180144,14501065914100.484,NN.20
197.346954994709,4.614449616104043,1235781100713.8787,NN.20.10
197.3471176998478,4.61441487359782,753591003137.4532,NN.20.10.10.5
197.34591064036567,4.614450474328102,1073144520432.643,NN.20.10.5
197.3464616401336,4.614474830291276,1057069690570.2189,NN.20.20.20.20
197.38356904388297,4.614943882520069,1315811028107.1394,NN.5
197.3460490823301,4.614355873299742,685031374489.5485,NN.5.5
17.676119136960605,1.2205440900562852,120912777988127.3,RF10
16.355575248280168,1.1839787367104435,140921265638433.66,RF100
16.417993026474896,1.1889460079216172,142658113524745.0,RF150
16.588875720450325,1.1932939337085677,141557796917849.4,RF200
17.13259174984366,1.190869293308318,148745530657092.4,RF25
16.42863955486071,1.1842785074004587,141895778128158.66,RF300
16.272665998749204,1.1816022514071294,145202360969017.28,RF50
91.31294368502252,6.392046601976678,1.7979052769239126e+16,RIDGE
157.155961110359,4.441758144624637,2908985432818057.5,SVR
