mse_test,mae_test,mape_test,Model
78.07794183445192,4.467561521252796,6045100170967.466,DT
66.1991962411206,4.2800273700944835,6045100170967.468,DT10
66.86606232910763,4.186726323639075,6045100170967.458,DT15
78.07794183445192,4.467561521252796,6045100170967.466,DT20
78.07794183445192,4.467561521252796,6045100170967.466,DT25
78.07794183445192,4.467561521252796,6045100170967.466,DT30
60.146939165606064,4.318875392718953,6045100170967.536,DT5
43.66056263982102,3.311923937360179,4533825128225.611,RF10
41.348029196868,3.2938098434004472,4856230470677.183,RF100
41.324188086502545,3.3013333333333317,4748762023193.316,RF150
41.20653427796413,3.313430648769573,4775629135064.279,RF200
43.086134478747205,3.320178970917226,4433073458709.491,RF25
40.94856988292316,3.294460104399699,4778987524048.149,RF300
41.4885148635347,3.293073825503356,4876380804580.411,RF50
