mse_test,mae_test,mape_test,Model
28.80244759972955,1.3478025693035836,97440965568530.08,DT
28.43134600477487,1.3310038780650366,82848244042281.48,DT10
29.909735463150778,1.3769776876267745,105662547038374.8,DT15
28.8331169709263,1.354022988505747,97440965568530.08,DT20
28.80244759972955,1.3478025693035836,97440965568530.08,DT25
28.80244759972955,1.3478025693035836,97440965568530.08,DT30
21.396807303943543,1.3779280578440432,340071569859934.2,DT5
19.514960851926983,1.1889587559161596,188061063547262.97,RF10
17.721771470588244,1.1402792427315755,163822623362091.12,RF100
17.412055384569182,1.1341383817894977,162405669321115.4,RF150
17.465903238167737,1.1359293441514542,164529070362462.94,RF200
18.861638004056797,1.1836186612576063,175077054885256.34,RF25
16.86982016257234,1.1226396213657879,161192732301798.84,RF300
17.7606487383367,1.154362407031778,175966203696069.16,RF50
