mse_test,mae_test,mape_test,Model
0.09577235772357723,0.11585365853658582,0.017854231930356082,DT
0.0797393038617886,0.1048102981029816,0.01589900206934355,DT10
0.09577235772357723,0.11585365853658582,0.017854231930356082,DT15
0.09577235772357723,0.11585365853658582,0.017854231930356082,DT20
0.09577235772357723,0.11585365853658582,0.017854231930356082,DT25
0.09577235772357723,0.11585365853658582,0.017854231930356082,DT30
0.08235805805685693,0.11714811207089589,0.01913492414678894,DT5
0.06669134507332745,0.10409664150212951,0.016214859672778508,RF10
0.06441181382925587,0.10099950154858812,0.015917552777999798,RF100
0.06526973840806848,0.10103560620725506,0.015939621320872236,RF150
0.06481357089775712,0.1006963886469257,0.01589463398436462,RF200
0.06426109650226747,0.10281297909407716,0.016094805906968285,RF25
0.06504657819891617,0.10058594092786362,0.015880050513874738,RF300
0.06252162024885678,0.10063653697251297,0.01579074231144489,RF50
